Frame,X(cm),Y(cm)
0,4.87326,9.42938
1,4.90807,9.52795
2,4.83845,9.39653
3,4.66441,9.52795
4,4.55998,9.49509
5,4.49036,9.49509
6,4.42074,9.49509
7,4.42074,9.46224
8,4.2467,9.42938
9,4.2467,9.36367
10,4.14227,9.26511
11,4.10746,9.46224
12,3.8638,9.52795
13,3.82899,9.52795
14,3.82899,9.52795
15,3.68975,9.52795
16,3.62014,9.52795
17,3.55052,9.59366
18,3.58533,9.46224
19,3.58533,9.42938
20,3.37647,9.5608
21,3.55052,9.46224
22,3.37647,9.52795
23,3.34166,9.59366
24,3.13281,9.59366
25,3.098,9.59366
26,3.13281,9.52795
27,3.098,9.5608
28,3.06319,9.52795
29,2.99357,9.39653
30,2.88915,9.52795
31,2.85434,9.49509
32,2.85434,9.49509
33,2.81953,9.46224
34,2.7151,9.42938
35,2.7151,9.39653
36,2.68029,9.36367
37,2.64548,9.36367
38,2.61067,9.33082
39,2.57587,9.26511
40,2.54106,9.26511
41,2.57587,9.23225
42,2.54106,9.16654
43,2.54106,9.16654
44,2.57587,9.16654
45,2.54106,9.10083
46,2.57587,9.13369
47,2.57587,9.10083
48,2.54106,9.03512
49,2.54106,9.00227
50,2.54106,9.00227
51,2.57587,9.03512
52,2.54106,8.93656
53,2.54106,8.9037
54,2.54106,8.93656
55,2.54106,8.87085
56,2.57587,8.80514
57,2.61067,8.77228
58,2.57587,8.64086
59,2.64548,8.5423
60,2.74991,8.41088
61,2.81953,8.34517
62,2.88915,8.27946
63,2.95876,8.27946
64,2.95876,8.21375
65,2.99357,8.14804
66,2.95876,8.08233
67,2.99357,8.04947
68,3.02838,8.01662
69,2.99357,7.95091
70,3.098,7.91805
71,3.098,7.8852
72,3.098,7.81949
73,3.098,7.78663
74,3.098,7.75378
75,3.13281,7.65521
76,3.06319,7.62236
77,3.098,7.5895
78,3.06319,7.55665
79,3.13281,7.35952
80,3.13281,7.39237
81,3.16762,7.29381
82,3.23724,7.29381
83,3.23724,7.29381
84,3.30685,7.12953
85,3.34166,7.19524
86,3.34166,7.16239
87,3.37647,6.99811
88,3.34166,6.89955
89,3.44609,6.86669
90,3.41128,6.83384
91,3.4809,6.73527
92,3.51571,6.66956
93,3.51571,6.63671
94,3.41128,6.571
95,3.44609,6.571
96,3.51571,6.47243
97,3.55052,6.40672
98,3.4809,6.37387
99,3.4809,6.30816
100,3.55052,6.24245
101,3.4809,6.17674
102,3.51571,6.11103
103,3.4809,6.07817
104,3.51571,6.04532
105,3.51571,5.94675
106,3.55052,5.94675
107,3.58533,5.88104
108,3.62014,5.84819
109,3.65494,5.81533
110,3.65494,5.78248
111,3.72456,5.71677
112,3.79418,5.65106
113,3.82899,5.6182
114,3.8638,5.58535
115,3.89861,5.51964
116,3.93342,5.48678
117,3.93342,5.42107
118,4.00303,5.38822
119,4.00303,5.32251
120,4.07265,5.28965
121,4.10746,5.22394
122,4.14227,5.22394
123,4.14227,5.12538
124,4.17708,5.12538
125,4.21189,5.09252
126,4.2467,5.05967
127,4.28151,5.02681
128,4.31632,4.92825
129,4.31632,4.9611
130,4.35112,4.86254
131,4.35112,4.86254
132,4.38593,4.79683
133,4.42074,4.79683
134,4.45555,4.73112
135,4.45555,4.69826
136,4.49036,4.66541
137,4.52517,4.5997
138,4.55998,4.5997
139,4.55998,4.63255
140,4.6296,4.53399
141,4.66441,4.5997
142,4.80364,4.53399
143,4.97769,4.53399
144,5.08211,4.5997
145,5.11692,4.73112
146,5.18654,4.79683
147,5.18654,4.82968
148,5.46501,4.73112
149,5.29097,4.73112
150,5.29097,4.79683
151,5.36059,4.73112
152,5.36059,4.73112
153,5.49982,4.73112
154,5.53463,4.73112
155,5.60425,4.76397
156,5.67387,4.69826
157,5.70868,4.73112
158,5.84791,4.73112
159,5.84791,4.76397
160,5.91753,4.76397
161,5.98715,4.82968
162,6.02196,4.79683
163,6.09157,4.86254
164,6.12638,4.89539
165,6.196,4.82968
166,6.26562,4.89539
167,6.33524,4.9611
168,6.33524,4.89539
169,6.43966,4.86254
170,6.43966,4.92825
171,6.47447,4.92825
172,6.5789,4.9611
173,6.61371,4.9611
174,6.68333,4.9611
175,6.68333,4.9611
176,6.75295,4.9611
177,6.82256,4.99396
178,6.85737,5.02681
179,6.99661,5.12538
180,7.13584,5.22394
181,7.17065,5.28965
182,7.20546,5.35536
183,7.30989,5.42107
184,7.37951,5.42107
185,7.37951,5.48678
186,7.44913,5.55249
187,7.48393,5.55249
188,7.58836,5.6182
189,7.55355,5.65106
190,7.69279,5.65106
191,7.79722,5.68391
192,7.86683,5.71677
193,7.93645,5.74962
194,8.00607,5.78248
195,8.04088,5.84819
196,8.14531,5.81533
197,8.21492,5.84819
198,8.24973,5.88104
199,8.28454,5.88104
200,8.45859,6.01246
201,8.35416,6.01246
202,8.38897,6.07817
203,8.42378,6.14388
204,8.59782,6.24245
205,8.66744,6.34101
206,8.56301,6.30816
207,8.59782,6.34101
208,8.66744,6.40672
209,8.70225,6.43958
210,8.73706,6.47243
211,8.80668,6.50529
212,8.87629,6.53814
213,8.94591,6.571
214,9.01553,6.60385
215,9.08515,6.66956
216,9.11996,6.66956
217,9.18958,6.70242
218,9.25919,6.76813
219,9.294,6.80098
220,9.36362,6.83384
221,9.39843,6.89955
222,9.39843,6.96526
223,9.39843,7.03097
224,9.43324,7.12953
225,9.43324,7.19524
226,9.43324,7.19524
227,9.46805,7.35952
228,9.46805,7.39237
229,9.53767,7.42523
230,9.64209,7.55665
231,9.64209,7.55665
232,9.6769,7.5895
233,9.71171,7.5895
234,9.74652,7.62236
235,9.81614,7.68807
236,9.88576,7.72092
237,10.0598,7.81949
238,10.025,7.85234
239,10.0946,7.91805
240,10.1294,7.95091
241,10.3035,8.08233
242,10.2338,8.08233
243,10.2687,8.14804
244,10.3731,8.2466
245,10.3731,8.31231
246,10.4775,8.37802
247,10.4775,8.50944
248,10.5123,8.47659
249,10.4775,8.50944
250,10.5123,8.5423
251,10.5123,8.60801
252,10.5471,8.64086
253,10.5819,8.70657
254,10.6167,8.70657
255,10.6864,8.73943
256,10.7212,8.77228
257,10.756,8.80514
258,10.8952,8.87085
259,10.8952,8.87085
260,10.93,8.9037
261,11.0345,8.96941
262,11.2433,9.06798
263,11.2085,9.13369
264,11.3129,9.1994
265,11.3825,9.29796
266,11.3825,9.39653
267,11.2085,9.42938
268,11.4522,9.5608
269,11.5566,9.62651
270,11.6262,9.69222
271,11.8351,9.69222
272,11.7654,9.69222
273,11.7654,9.65937
274,12.0091,9.72508
275,12.1483,9.88935
276,12.1831,9.88935
277,12.2876,9.92221
278,12.4268,9.92221
279,12.5312,9.98792
280,12.566,9.95506
281,12.7749,10.1193
282,12.8445,10.1193
283,13.1578,10.2836
284,13.2274,10.415
285,13.2622,10.5136
286,13.3318,10.5793
287,13.4363,10.4479
288,13.4711,10.5136
289,13.6103,10.6779
290,13.6103,10.6122
291,13.7496,10.6779
292,13.8192,10.7436
293,13.9236,10.7764
294,13.9584,10.8093
295,14.0628,10.8421
296,14.2717,10.9407
297,14.3413,11.0393
298,14.4805,11.0064
299,14.4109,11.0064
300,14.6546,11.105
301,14.7938,11.2364
302,14.6546,11.1707
303,14.8634,11.3678
304,14.9331,11.335
305,14.8983,11.4007
306,15.0375,11.4992
307,15.1419,11.4992
308,15.1767,11.5321
309,15.3508,11.5978
310,15.4204,11.565
311,15.4552,11.5978
312,15.7685,11.6635
313,15.8729,11.6964
314,16.0121,11.7621
315,16.0121,11.7621
316,16.0818,11.9264
317,16.395,12.1235
318,16.4647,12.1892
