Frame,X(cm),Y(cm)
0,5.18654,6.14388
1,5.15173,6.14388
2,5.08211,6.11103
3,5.08211,6.07817
4,5.0125,6.04532
5,4.90807,5.94675
6,4.90807,5.97961
7,4.90807,5.97961
8,4.90807,5.94675
9,4.80364,5.84819
10,4.80364,5.88104
11,4.69921,5.78248
12,4.69921,5.81533
13,4.69921,5.78248
14,4.6296,5.78248
15,4.59479,5.81533
16,4.55998,5.65106
17,4.59479,5.6182
18,4.49036,5.58535
19,4.55998,5.58535
20,4.55998,5.55249
21,4.38593,5.58535
22,4.35112,5.55249
23,4.2467,5.55249
24,4.2467,5.6182
25,4.17708,5.51964
26,4.14227,5.51964
27,4.14227,5.55249
28,4.07265,5.51964
29,4.07265,5.55249
30,4.03784,5.51964
31,3.96823,5.48678
32,4.00303,5.55249
33,3.89861,5.45393
34,3.89861,5.45393
35,3.89861,5.48678
36,3.82899,5.38822
37,3.8638,5.45393
38,3.79418,5.2568
39,3.8638,5.35536
40,3.82899,5.42107
41,3.8638,5.2568
42,3.8638,5.19109
43,3.82899,5.12538
44,3.8638,5.09252
45,3.8638,5.02681
46,3.82899,4.99396
47,3.79418,4.92825
48,3.82899,4.92825
49,3.75937,4.86254
50,3.89861,4.89539
51,3.82899,4.86254
52,3.89861,4.82968
53,3.72456,4.76397
54,3.82899,4.73112
55,3.72456,4.76397
56,3.72456,4.53399
57,3.8638,4.73112
58,3.82899,4.69826
59,3.72456,4.40257
60,3.58533,4.50113
61,3.65494,4.56684
62,3.62014,4.56684
63,3.51571,4.40257
64,3.34166,4.304
65,3.58533,4.50113
66,3.58533,4.23829
67,3.55052,4.33686
68,3.4809,4.36971
69,3.4809,4.36971
70,3.51571,4.13973
71,3.62014,4.40257
72,3.4809,4.10687
73,3.44609,4.17258
74,3.58533,4.304
75,3.41128,4.13973
76,3.37647,4.10687
77,3.41128,3.97545
78,3.41128,3.97545
79,3.30685,4.04116
80,3.30685,4.04116
81,3.41128,4.20544
82,3.30685,4.00831
83,3.27205,4.00831
84,3.30685,4.07402
85,3.23724,4.10687
86,3.20243,4.17258
87,3.30685,4.27115
88,3.27205,4.27115
89,3.30685,4.23829
90,3.20243,4.304
91,3.16762,4.33686
92,3.23724,4.40257
93,3.20243,4.23829
94,3.098,4.40257
95,3.098,4.40257
96,3.098,4.43542
97,3.098,4.43542
98,3.06319,4.46828
99,3.06319,4.46828
