Frame,X(cm),Y(cm)
0,4.00303,11.6307
1,4.03784,11.7292
2,4.00303,11.7621
3,3.93342,11.7621
4,3.8638,11.7949
5,3.75937,11.8278
6,3.72456,11.8278
7,3.65494,11.7949
8,3.62014,11.8607
9,3.51571,11.8607
10,3.4809,11.8607
11,3.41128,11.8607
12,3.41128,11.7949
13,3.34166,11.8935
14,3.30685,11.8935
15,3.23724,11.7949
16,3.23724,11.8607
17,3.23724,11.8607
18,3.27205,11.8607
19,3.30685,11.8278
20,3.30685,11.8278
21,3.30685,11.7949
22,3.30685,11.7292
23,3.30685,11.7949
24,3.34166,11.8278
25,3.34166,11.8278
26,3.30685,11.8278
27,3.34166,11.8607
28,3.34166,11.7949
29,3.34166,11.8607
30,3.34166,11.7949
31,3.30685,11.8278
32,3.30685,11.8278
33,3.30685,11.8278
34,3.30685,11.8278
35,3.27205,11.8278
36,3.27205,11.8278
37,3.27205,11.8278
38,3.27205,11.8278
39,3.30685,11.8278
40,3.27205,11.8278
41,3.30685,11.8278
42,3.30685,11.8278
43,3.30685,11.8278
44,3.30685,11.8278
45,3.30685,11.8278
46,3.30685,11.8278
47,3.41128,11.8278
48,3.34166,11.7292
49,3.4809,11.7292
50,3.23724,11.3678
51,3.30685,11.4007
52,3.37647,11.3021
53,3.37647,11.2693
54,3.44609,11.2693
55,3.44609,11.2036
56,3.51571,10.9736
57,3.55052,10.875
58,3.58533,10.8093
59,3.62014,10.7436
60,3.62014,10.7107
61,3.65494,10.6779
62,3.72456,10.6122
63,3.68975,10.6122
64,3.75937,10.5793
65,3.75937,10.5136
66,3.72456,10.5465
67,3.72456,10.5136
68,3.72456,10.5136
69,3.75937,10.4807
70,3.75937,10.4479
71,3.75937,10.415
72,3.75937,10.4479
73,3.72456,10.4479
74,3.72456,10.4479
75,3.68975,10.4479
76,4.52517,10.2836
77,4.49036,10.3493
78,4.45555,10.3822
79,4.42074,10.415
80,4.45555,10.4479
81,4.80364,10.4807
82,5.0125,10.5136
83,5.98715,10.5465
84,6.33524,10.4807
85,6.54409,10.4807
86,6.78775,10.4807
87,6.92699,10.5793
88,7.17065,10.6122
89,7.30989,10.645
90,7.48393,10.645
91,7.65798,10.645
92,8.04088,10.645
93,8.28454,10.645
94,8.42378,10.645
95,8.66744,10.645
96,8.87629,10.6122
97,9.11996,10.5793
98,9.22438,10.5793
99,9.43324,10.5793
100,9.60728,10.5793
101,9.85095,10.5465
102,10.025,10.5793
103,10.199,10.6122
104,10.3731,10.6779
105,10.5819,10.7436
106,10.7212,10.7764
107,10.93,10.7436
108,11.1389,10.7107
109,11.3825,10.7107
110,11.5566,10.7107
111,11.7654,10.7107
112,11.9743,10.7107
113,12.2528,10.7107
114,12.4616,10.7107
115,12.6357,10.7107
116,12.8445,10.7436
117,13.0534,10.7436
118,13.2622,10.7436
119,13.4711,10.7436
120,13.6799,10.7436
121,13.9584,10.7436
122,14.0976,10.7436
123,14.2369,10.7107
124,14.5154,10.7107
125,14.6894,10.7107
126,14.8634,10.7107
127,15.0375,10.7107
128,15.2115,10.7107
129,15.3508,10.7107
130,15.5248,10.7107
131,15.6989,10.7436
132,15.8381,10.7764
133,16.0121,10.7764
134,16.2906,10.875
135,16.3254,10.8093
136,16.4647,10.8093
137,16.6387,10.8093
138,16.8127,10.8093
139,16.9172,10.8093
140,17.0564,10.8093
141,17.2305,10.8093
142,17.3697,10.8093
143,17.5089,10.8093
144,17.6482,10.8093
145,17.8222,10.7764
146,17.9266,10.8093
147,18.1007,10.7764
148,18.2051,10.7764
149,18.3443,10.7764
150,18.4836,10.7764
151,18.588,10.7107
152,18.6924,10.6779
153,18.8317,10.6122
154,18.9013,10.5793
155,19.0753,10.5465
156,19.1798,10.5136
157,19.319,10.4807
158,19.3538,10.4807
159,19.5278,10.415
160,19.6323,10.3822
161,19.7019,10.3822
162,19.8063,10.3493
163,19.9804,10.2836
164,19.9804,10.3165
165,20.1544,10.2179
166,20.2588,10.185
167,20.3633,10.1522
168,20.4677,10.1193
169,20.5721,10.0865
170,20.6417,10.0536
171,20.7114,10.0208
172,20.8854,9.92221
173,20.8158,10.0208
174,20.8854,9.98792
175,20.955,10.0208
176,21.1639,10.0208
177,21.3727,10.0865
178,21.3727,10.185
179,21.4772,10.2836
180,21.7556,10.3493
181,21.8601,10.415
182,21.9645,10.415
183,22.2081,10.415
184,22.2778,10.3165
185,22.4518,10.2508
186,22.6607,10.3493
187,22.7999,10.3165
188,23.0436,10.2179
189,23.0784,10.2836
190,23.322,10.2508
191,23.3568,10.2836
192,23.5309,10.2836
193,23.6353,10.2179
194,23.7745,10.185
195,23.9138,10.0865
196,24.0182,9.98792
197,24.1923,9.88935
198,24.2967,9.82364
199,24.3315,9.79079
200,24.5403,9.75793
201,24.6796,9.72508
202,24.8536,9.65937
203,24.9929,9.62651
204,25.0625,9.5608
205,25.1321,9.42938
206,25.2365,9.26511
207,25.3758,9.13369
208,25.4802,9.03512
209,25.5498,8.93656
210,25.7587,8.83799
211,25.8283,8.80514
212,26.0719,8.60801
213,26.1067,8.60801
214,26.1764,8.50944
215,26.246,8.44373
216,26.3504,8.2466
217,26.3852,8.14804
218,26.4548,8.01662
219,26.5593,7.95091
220,26.6985,7.85234
221,26.8029,7.78663
222,27.0466,7.65521
223,27.2206,7.5895
224,27.2206,7.52379
225,27.4295,7.39237
226,27.4991,7.26095
227,27.6383,7.09668
228,27.7428,6.96526
229,27.8472,6.86669
230,27.9168,6.83384
231,28.0212,6.70242
232,28.1605,6.571
233,28.2649,6.50529
234,28.3345,6.43958
235,28.439,6.2753
236,28.5086,6.14388
237,28.5782,5.97961
238,28.613,5.9139
239,28.7522,5.78248
240,28.8567,5.65106
241,28.9263,5.6182
242,29.0307,5.55249
243,29.2048,5.35536
244,29.3788,5.2568
245,29.4484,5.12538
246,29.518,5.02681
247,29.5876,4.89539
248,29.7269,4.76397
249,29.8313,4.66541
250,29.8661,4.5997
251,29.9357,4.53399
252,30.1098,4.43542
253,30.2838,4.33686
254,30.4231,4.33686
255,30.4927,4.36971
256,30.6667,4.27115
257,30.806,4.304
258,30.9104,4.20544
259,30.9104,4.10687
260,31.1541,4.13973
261,31.2933,4.07402
262,31.4325,3.97545
263,31.6762,3.84403
264,31.8502,3.77832
265,32.0939,3.74547
266,32.0243,3.74547
267,32.3724,3.67976
268,32.4768,3.6469
269,32.5812,3.6469
270,32.7205,3.6469
271,32.8597,3.61405
272,32.8597,3.61405
273,33.0685,3.58119
274,33.2426,3.54834
275,33.347,3.48263
276,33.4863,3.41692
277,33.6255,3.35121
278,33.7299,3.25264
279,33.8692,3.21979
280,34.0084,3.15408
281,34.1476,3.12122
282,34.2869,3.08837
