Frame,X(cm),Y(cm)
0,8.5282,6.14388
1,8.45859,6.14388
2,8.42378,6.14388
3,8.42378,6.17674
4,8.42378,6.14388
5,8.35416,6.14388
6,8.35416,6.14388
7,8.28454,6.17674
8,8.21492,6.17674
9,8.21492,6.20959
10,8.1105,6.17674
11,8.14531,6.14388
12,8.1105,6.20959
13,8.1105,6.17674
14,8.07569,6.20959
15,8.00607,6.20959
16,7.97126,6.20959
17,7.93645,6.20959
18,7.93645,6.20959
19,7.83202,6.24245
20,7.83202,6.20959
21,7.79722,6.24245
22,7.79722,6.24245
23,7.69279,6.24245
24,7.65798,6.2753
25,7.44913,6.34101
26,7.48393,6.34101
27,7.44913,6.34101
28,7.44913,6.34101
29,7.44913,6.34101
30,7.37951,6.34101
31,7.30989,6.34101
32,7.30989,6.34101
33,7.27508,6.37387
34,7.24027,6.37387
35,7.27508,6.34101
36,7.17065,6.37387
37,7.17065,6.37387
38,7.24027,6.34101
39,7.24027,6.34101
40,7.20546,6.30816
41,7.20546,6.34101
42,7.13584,6.37387
43,7.17065,6.34101
44,7.17065,6.34101
45,7.17065,6.34101
46,6.92699,6.47243
47,6.92699,6.47243
48,6.89218,6.50529
49,6.99661,6.50529
50,6.9618,6.53814
51,6.99661,6.53814
52,6.78775,6.73527
53,6.82256,6.73527
54,6.82256,6.76813
55,6.78775,6.80098
56,6.78775,6.83384
57,6.75295,6.83384
58,6.82256,6.80098
59,6.75295,6.86669
60,6.71814,6.86669
61,6.71814,6.80098
62,6.68333,6.89955
63,6.61371,6.9324
64,6.61371,6.83384
65,6.61371,6.96526
66,6.54409,6.99811
67,6.61371,6.9324
68,6.43966,7.06382
69,6.50928,7.03097
70,6.43966,6.9324
71,6.30043,7.06382
72,6.37005,7.09668
73,6.37005,6.99811
74,6.37005,7.09668
75,6.37005,7.09668
76,6.40486,7.09668
77,6.23081,7.06382
78,6.33524,7.12953
79,6.26562,7.16239
80,6.26562,7.16239
81,6.26562,7.19524
82,6.26562,7.19524
83,6.26562,7.19524
84,6.26562,7.19524
85,6.23081,7.2281
86,6.26562,7.2281
87,6.23081,7.2281
88,6.196,7.26095
89,6.196,7.26095
90,6.23081,7.26095
91,6.16119,7.29381
92,6.16119,7.29381
93,6.16119,7.29381
94,6.16119,7.32666
95,6.16119,7.32666
96,6.12638,7.35952
97,6.12638,7.35952
98,6.16119,7.35952
99,6.16119,7.35952
100,6.12638,7.39237
101,6.12638,7.39237
102,6.05677,7.39237
103,6.16119,7.42523
104,6.12638,7.42523
105,6.05677,7.45808
106,6.05677,7.45808
107,6.05677,7.45808
108,6.16119,7.45808
109,6.05677,7.42523
110,6.12638,7.45808
111,6.09157,7.45808
112,6.05677,7.45808
113,6.02196,7.49094
114,6.05677,7.49094
115,6.02196,7.49094
116,6.05677,7.49094
117,6.02196,7.49094
118,6.05677,7.49094
119,6.12638,7.49094
120,6.09157,7.49094
121,6.05677,7.52379
122,6.05677,7.52379
123,6.05677,7.52379
124,6.02196,7.52379
125,6.05677,7.52379
126,6.09157,7.52379
127,6.09157,7.52379
128,6.12638,7.52379
129,6.12638,7.52379
130,6.12638,7.52379
131,5.91753,7.62236
132,6.16119,7.52379
133,6.196,7.49094
134,6.196,7.52379
135,6.23081,7.55665
136,6.23081,7.55665
137,6.26562,7.5895
138,6.23081,7.62236
139,6.37005,7.62236
140,6.54409,7.65521
141,6.50928,7.68807
142,6.64852,7.68807
143,6.64852,7.72092
144,6.68333,7.75378
145,6.82256,7.75378
146,6.71814,7.78663
147,6.43966,7.68807
148,6.50928,7.68807
149,6.50928,7.72092
150,6.54409,7.75378
151,6.54409,7.78663
152,6.5789,7.81949
153,6.5789,7.85234
154,6.5789,7.85234
155,6.61371,7.91805
156,6.61371,7.95091
157,6.61371,7.95091
158,6.64852,7.98376
159,6.64852,7.98376
160,6.75295,8.14804
161,6.82256,7.98376
162,6.78775,8.01662
163,6.82256,7.98376
164,6.85737,8.01662
165,7.10104,8.18089
166,7.20546,8.18089
167,7.10104,7.91805
